iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
AFG;Afghanistan;2020;12.16;0.312;;0.061;0.002;7.508;0.193;;;0.314;0.008;4.277;0.11;0.11;0.014;;192.849;2.504;60.405;;20.15;103.833;;0.03;0.0;0.05;;0.0;0.04;;0.01;0.01;0.01;;0.01;0.02;38928341.0;;;
;Africa;2020;1.326.044;0.99;;77.025;0.058;446.097;0.333;44.459;0.033;287.016;0.214;471.446;0.352;-5.85;-82.435;0.407;47.610.745;1.862.331;20.304.718;2.786.571;5.948.864;16.708.261;;3.81;4.74;3.19;10.22;3.88;4.26;;2.81;4.31;2.58;15.66;2.43;2.82;1340598111.0;;5.162.275;3.850.725
ALB;Albania;2020;4.535;1.576;;0.78;0.271;0.461;0.16;;;0.153;0.053;3.14;1.091;-6.76;-0.329;;285.503;19.484;66.964;;16.602;182.453;;0.01;0.05;0.0;;0.0;0.03;;0.02;0.05;0.01;;0.01;0.03;2877800.0;;;
DZA;Algeria;2020;154.995;3.535;;10.749;0.245;1.099;0.025;5.599;0.128;88.219;2.012;49.33;1.125;-6.99;-11.646;0.243;4.587.132;229.286;116.449;588.666;2.062.656;1.590.074;;0.45;0.66;0.01;1.29;1.19;0.45;;0.27;0.53;0.01;3.31;0.84;0.27;43851043.0;;638.496;14.560.575
AND;Andorra;2020;0.466;6.035;;;;;;;;;;0.466;6.035;-7.08;-0.036;;15.071;;;;;15.071;;0.0;;;;;0.0;;0.0;;;;;0.0;77265.0;;;
AGO;Angola;2020;22.198;0.675;;1.937;0.059;;;7.867;0.239;1.314;0.04;11.08;0.337;-5.49;-1.289;;682.26;26.912;;288.528;40.78;324.439;;0.06;0.12;;1.81;0.02;0.1;;0.04;0.06;;1.62;0.02;0.05;32866267.0;;;
AIA;Anguilla;2020;0.123;8.227;;;;;;;;;;0.123;8.227;-11.51;-0.016;;3.421;;;;;3.421;;0.0;;;;;0.0;;0.0;;;;;0.0;15002.0;;;
ATA;Antarctica;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
ATG;Antigua and Barbuda;2020;0.43;4.395;;;;;;;;;;0.43;4.395;-11.51;-0.056;;21.527;;;;;21.527;;0.0;;;;;0.0;;0.0;;;;;0.0;97928.0;;;
ARG;Argentina;2020;156.978;3.473;;3.649;0.081;2.816;0.062;1.847;0.041;86.702;1.918;61.965;1.371;-6.32;-10.588;0.18;8.431.213;197.058;537.442;184.48;2.868.907;4.643.326;;0.45;0.22;0.02;0.42;1.17;0.56;;0.5;0.46;0.07;1.04;1.17;0.78;45195777.0;;874.612;19.351.623
ARM;Armenia;2020;5.89;1.988;;0.315;0.106;0.004;0.002;;;4.873;1.644;0.698;0.236;6.54;0.362;;383.336;14.831;43.765;;157.331;165.259;;0.02;0.02;0.0;;0.07;0.01;;0.02;0.03;0.01;;0.06;0.03;2963234.0;;;
ABW;Aruba;2020;0.753;7.055;;;;;;;;;;0.753;7.055;-11.51;-0.098;;75.921;;;;;75.921;;0.0;;;;;0.01;;0.0;;;;;0.01;106766.0;;;
;Asia;2020;20.317.058;4.379;;1.315.197;0.284;11.139.156;2.401;141.588;0.03;2.954.287;0.637;4566.48;0.984;-1.41;-291.534;0.251;532.916.155;26.509.177;281.003.765;6377.15;57.253.253;156.292.299;5.480.512;58.37;80.87;79.7;32.55;39.93;41.24;67.29;31.41;61.42;35.64;35.84;23.35;26.37;4639847425.0;;;
;Asia (excl. China & India);2020;7.207.379;3.959;;334.056;0.184;2.130.503;1.17;139.909;0.077;2.222.049;1.221;2.352.049;1.292;-3.81;-285.257;0.228;242.935.653;9.229.001;68550.83;6.180.302;48.790.943;109.432.079;752.499;20.71;20.54;15.24;32.16;30.03;21.24;9.68;14.32;21.38;8.7;34.73;19.9;18.47;;;;
